datetime,date,time,east,west,total,gas_public,gas_pvt,hvdc,nepal,tripura,adani,hydro,coal,solar,hfo_public,hfo_pvt,hsd_public,hsd_pvt,wind,shortage
2025-01-01 00:00,2025-01-01,00:00,4412.0,4068.56,8480.56,3001.0,1514.0,909.0,0.0,48.0,545.56,46.0,2371.0,0.0,17.0,0.0,0.0,0.0,29.0,0.0
2025-01-01 00:30,2025-01-01,00:30,4294.5,3998.255,8292.755,2965.5,1536.75,909.5,0.0,46.0,511.005,36.0,2255.0,0.0,8.5,0.0,0.0,0.0,24.5,0.0
2025-01-01 01:00,2025-01-01,01:00,4177.0,3927.95,8104.95,2930.0,1559.5,910.0,0.0,44.0,476.45,26.0,2139.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
2025-01-01 01:30,2025-01-01,01:30,4105.0,3793.84,7898.84,2903.5,1508.5,815.5,0.0,43.0,448.34,26.0,2135.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
2025-01-01 02:00,2025-01-01,02:00,4033.0,3659.73,7692.73,2877.0,1457.5,721.0,0.0,42.0,420.23,26.0,2131.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
2025-01-01 02:30,2025-01-01,02:30,3920.0,3602.225,7522.225,2792.5,1385.5,721.5,0.0,41.0,418.225,26.0,2118.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0
2025-01-01 03:00,2025-01-01,03:00,3807.0,3544.72,7351.72,2708.0,1313.5,722.0,0.0,40.0,416.22,26.0,2105.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
2025-01-01 03:30,2025-01-01,03:30,3749.5,3467.985,7217.485,2652.0,1280.5,674.5,0.0,39.0,416.485,26.0,2104.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2025-01-01 04:00,2025-01-01,04:00,3692.0,3391.25,7083.25,2596.0,1247.5,627.0,0.0,38.0,416.75,26.0,2103.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
2025-01-01 04:30,2025-01-01,04:30,3681.5,3336.38,7017.88,2576.0,1230.0,627.0,0.0,38.0,416.88,26.0,2074.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
