date,plant,producer,units,installed_mw,present_mw,peak_mw,energy_kwh,remarks
2024-12-31,Adani Power Jharkhanda Ltd,Import,2*673,1346.0,1347.54,631.0,12637579.0,Default availability set by nldc
2024-12-31,Amnura 50 MW PP(Sinha),QRPP,7*7.79,54.53,35.09,0.0,0.0,Default availability set by nldc
2024-12-31,Anlima Energy Ltd.,IPP,6*21.2,127.2,116.0,17.0,21327.0,Liquid fuel shortage
2024-12-31,Anwara 300 MW PP (United),IPP,17*17+24,289.0,300.0,0.0,15055.0,-
2024-12-31,Ashuganj 150MW PP (Midland),IPP,23X7.015,161.345,150.0,25.0,38472.0,Default availability set by nldc
2024-12-31,Ashuganj 195 MW PP (APSCL-United),IPP,20X9.73+1X16,210.6,195.0,189.0,2977455.0,-
2024-12-31,Ashuganj 420 MW CCPP(East),APSCL,284*1+116*1,400.0,400.0,0.0,0.0,-
2024-12-31,Ashuganj 450 MW CCPP(North),APSCL,1*360,360.0,356.15,300.0,7689700.0,FGMO
2024-12-31,Ashuganj 450 MW CCPP(South),APSCL,1*360,360.0,360.0,0.0,0.0,-
2024-12-31,Ashuganj 50 MW PP,APSCL,14*3.96,55.44,45.0,30.0,622440.0,-
2024-12-31,Ashuganj 51 MW PP (Midland),IPP,6X9.34,56.04,51.0,51.0,922400.0,Default availability set by nldc
2024-12-31,Ashuganj 55 MW PP (Precision),QRPP,15*4,60.0,55.0,29.0,466560.0,-
2024-12-31,Ashuganj CCPP 225 MW,APSCL,1X142+1X75,217.0,221.0,182.0,4563000.0,FGMO
2024-12-31,Baghabari 100 MW GTPP,PDB,1*100,100.0,100.0,0.0,0.0,Machine Under Maintenance
2024-12-31,Baghabari 50 MW Peaking PP,PDB,6*8.9,53.4,52.0,0.0,0.0,Default availability set by nldc
2024-12-31,Baghabari 71 MW GTPP,PDB,1X71,71.0,71.0,0.0,0.0,Gas shortage
2024-12-31,Bagura 113 MW PP (Confidence)-2,IPP,6*18.55+7.2,111.3,113.0,0.0,0.0,-
2024-12-31,Barapukuria 275 MW TPP Unit-3,PDB,1*275,275.0,274.0,200.0,4616000.0,Machine Problem
2024-12-31,Barapukuria TPP Unit-1 & 2,PDB,1*125+1*125,250.0,170.0,75.0,1766399.0,Default availability set by nldc
2024-12-31,Barisal 1 MW Solar Plant,IPP,0,0.0,1.0,0.0,3140.0,Default availability set by nldc
2024-12-31,Barisal 110 MW PP (Summit ),IPP,7X17.076,119.532,110.0,0.0,0.0,Default availability set by nldc
2024-12-31,Barisal 307 MW,BCPCL,307X1,307.0,307.0,307.0,5237000.0,-
2024-12-31,Bera 70 MW Peaking PP,PDB,9*8.29,74.61,71.0,0.0,0.0,Default availability set by nldc
2024-12-31,Bhairob 54.5 MW,IPP,3*18.2,54.6,54.5,0.0,0.0,-
2024-12-31,Bheramara (HVDC ),Import,2X500,1000.0,1000.0,923.0,20874181.0,Default availability set by nldc
2024-12-31,Bheramara 410 MW CCPP,NWPGCL,1X278+1X132,410.0,410.0,250.0,6608736.0,Gas shortage
2024-12-31,Bheramara GTPP Unit-3,PDB,1X20,20.0,16.0,0.0,0.0,Default availability set by nldc
2024-12-31,Bhola 225 MW CCPP,PDB,2X63+1X68,194.0,194.0,130.0,2724000.0,Partial Shutdown of STG
2024-12-31,Bhola 33 MW PP (Venture),NENP,1X34.50,34.5,40.0,0.0,78375.0,Default availability set by nldc
2024-12-31,Bhola Nutan Biddut BD LTD,IPP,2*110,220.0,220.0,220.0,5193330.0,MVAR Subjected to Grid Voltage
2024-12-31,Bibiana-II 341 MW CCPP (Summit),IPP,1*222+1*119,341.0,341.0,270.0,6932000.0,FGMO
2024-12-31,Bibiyana South 400 MW,PDB,1*400,400.0,383.0,340.0,7299300.0,FGMO
2024-12-31,Bibiyana-III 400 MW CCPP,PDB,285*1+134*1,419.0,400.0,358.0,8933000.0,FGMO Activated
2024-12-31,Chandpur 115(Doreen),IPP,4*18.5+2*22.5,119.0,115.0,25.0,117120.0,-
2024-12-31,Chandpur 150 MW CCPP,PDB,1*106+1*57,163.0,163.0,40.0,1047570.0,-
2024-12-31,Chandpur 200MW (Desh energy),IPP,12*18.4,220.8,200.0,12.0,17280.0,Default availability set by nldc
2024-12-31,Chapainawabganj 100 MW Peaking PP,PDB,12*8.924,107.088,104.0,33.0,28912.0,-
2024-12-31,Chattogram 108 MW PP (ECPV),IPP,16*7,112.0,108.0,0.0,0.0,Liquid fuel shortage
2024-12-31,Chattogram TPP,PDB,1*210+1*210,420.0,360.0,0.0,0.0,Default availability set by nldc
2024-12-31,Chowmuhani 113 MW,IPP,12*9.78+2*3.1,123.56,113.0,28.0,50400.0,-
2024-12-31,Confidence Power Bogura Unit-1 113 MW,IPP,6*18.55,111.3,113.0,0.0,0.0,Liquid fuel shortage
2024-12-31,Cox's Bazar Wind,PDB,0,0.0,66.0,22.0,557280.0,Default availability set by nldc
2024-12-31,Cumilla 25 MW PP (Summit),"SIPP,REB",3*3.67+2*6.97,24.95,25.0,17.0,373450.0,Machine Under Maintenance
2024-12-31,Dohazari -Kalaish 100 MW Peaking,PDB,6*17,102.0,102.0,0.0,4632.0,-
2024-12-31,Energypac Power Venture Thakurgaon Ltd.,IPP,0,0.0,115.0,0.0,0.0,Default availability set by nldc
2024-12-31,Faridpur 50 MW Peaking PP,PDB,8*6.89,55.12,54.0,0.0,0.0,-
2024-12-31,Fenchuganj 44MW (Energyprima),NENP,12*3.3+5*2,49.6,50.0,5.0,202896.0,-
2024-12-31,Fenchugonj CCPP Phase-1,PDB,2*32+1*33,97.0,70.0,29.0,710000.0,Default availability set by nldc
