date,substation,load_mw,time
2024-12-31,AKS,0.0,00:00
2024-12-31,AKSML,145.0,10:00
2024-12-31,Aftabnagar,24.0,12:00
2024-12-31,Agargaon,73.0,14:00
2024-12-31,Agrabad,58.0,12:00
2024-12-31,Amnura,44.0,13:00
2024-12-31,Ashuganj,62.0,13:00
2024-12-31,BSRM,139.0,02:00
2024-12-31,Bagerhat,68.0,18:00
2024-12-31,Bakulia,66.0,13:00
2024-12-31,Banani,38.0,13:00
2024-12-31,Bangabhaban,7.0,11:00
2024-12-31,Barapukuria,43.0,13:00
2024-12-31,Barguna,14.0,20:00
2024-12-31,Barishal,72.0,20:00
2024-12-31,Barishal-230,66.0,13:00
2024-12-31,Baroaulia,54.0,12:00
2024-12-31,Baroirhat,45.0,18:00
2024-12-31,Bashundhara,126.0,13:00
2024-12-31,BashundharaCement,12.0,01:00
2024-12-31,Beanibazar,42.0,18:00
2024-12-31,Benapole,42.0,08:00
2024-12-31,Bhaluka,114.0,18:00
2024-12-31,Bhandaria,33.5,22:00
2024-12-31,Bhangura,21.0,18:00
2024-12-31,Bheramara(GK),39.0,18:00
2024-12-31,Bhulta,250.0,11:00
2024-12-31,Bog-Sherpur,102.0,09:00
2024-12-31,Bogura,112.0,18:30
2024-12-31,Borhanuddin,61.0,21:00
2024-12-31,Brahmanbaria,102.0,19:00
2024-12-31,Cantonment,74.0,18:00
2024-12-31,Chandpur,43.0,18:30
2024-12-31,Chandraghona,24.0,18:00
2024-12-31,Chapai,49.0,13:00
2024-12-31,Charsaidpur,42.0,01:00
2024-12-31,Chauddagram,37.0,13:00
2024-12-31,Chhatak,19.0,19:00
2024-12-31,Chowmuhani,137.0,18:00
2024-12-31,Chuadanga,71.0,18:00
2024-12-31,Coxsbazar,94.0,18:00
2024-12-31,Cumilla(N),102.0,19:30
2024-12-31,Cumilla(S),119.0,19:00
2024-12-31,Daudkandi,108.0,18:30
2024-12-31,Dhaka,30.0,13:00
2024-12-31,Dhamrai,118.0,09:00
2024-12-31,Dhanmondi,84.0,13:00
2024-12-31,Dohazari,67.0,12:00
2024-12-31,Faridpur,106.0,20:00
2024-12-31,Fatullah,76.0,17:00
2024-12-31,Fenchuganj,24.0,18:00
2024-12-31,Feni,72.0,18:00
2024-12-31,GPH,26.0,11:00
2024-12-31,Ghatail,0.0,00:00
2024-12-31,Ghorashal,7.0,00:00
2024-12-31,Ghorashal-230,46.0,18:00
2024-12-31,Goalpara,22.0,13:00
2024-12-31,Gollamari,48.0,13:00
2024-12-31,Gopalganj,73.4,18:30
2024-12-31,Gulshan,64.0,13:00
2024-12-31,Halishahar,38.0,10:00
2024-12-31,HaripurSBU,169.0,10:00
2024-12-31,Hasnabad,65.0,11:00
2024-12-31,Hathazari,56.0,13:00
2024-12-31,Ishurdi,54.0,18:30
2024-12-31,Jaldhaka,58.0,18:00
2024-12-31,Jamalpur,92.0,18:30
2024-12-31,Jashore,99.0,13:00
2024-12-31,Jhenaidah,90.0,18:00
2024-12-31,Joydebpur,118.0,18:00
2024-12-31,Joypurhat,36.0,13:00
2024-12-31,Juldah,8.0,00:00
2024-12-31,KSRM,36.0,19:00
2024-12-31,Kabirpur,204.0,18:00
2024-12-31,Kachua,48.0,19:00
2024-12-31,Kallyanpur,62.0,12:00
2024-12-31,Kalurghat,28.0,11:00
2024-12-31,Kamrangirchar,52.1,13:00
2024-12-31,Kazla,83.0,13:00
2024-12-31,Keranigonj,56.0,13:00
2024-12-31,Khagrachori,24.0,18:00
2024-12-31,Khulna,69.0,13:00
2024-12-31,Khulshi,148.0,13:00
2024-12-31,Kishoreganj,112.0,20:00
2024-12-31,Kodda,263.0,18:00
2024-12-31,Kulaura,28.0,18:00
2024-12-31,Kurigram,48.0,18:00
2024-12-31,Kushtia,100.0,18:00
2024-12-31,Lalbag,63.0,15:00
2024-12-31,Lalmonirhat,43.0,18:00
2024-12-31,MI_Cement,16.8,16:00
2024-12-31,Madanganj,29.0,19:00
2024-12-31,Madaripur,67.0,20:00
2024-12-31,Madartek,58.05,13:00
2024-12-31,Madunaghat,33.0,13:00
2024-12-31,Magura,44.0,18:00
2024-12-31,Mahasthangarh,48.0,18:00
2024-12-31,Manikganj,86.0,20:00
2024-12-31,Maniknagar,44.0,13:00
2024-12-31,Matarbari,31.0,19:00
2024-12-31,Matuail,44.0,09:00
2024-12-31,Millgate,67.0,12:00
2024-12-31,Mirpur,98.0,15:00
2024-12-31,Mirsorai,7.0,12:00
2024-12-31,Mirzapur,34.0,13:00
2024-12-31,Mithapukur,38.0,08:00
2024-12-31,Modern,0.0,00:00
2024-12-31,Mogbazar,70.9,15:00
2024-12-31,Mongla,34.0,12:00
2024-12-31,Motijheel,26.0,13:00
2024-12-31,Munshiganj,70.0,13:00
2024-12-31,Mymensingh,176.0,18:00
2024-12-31,Naogaon,83.0,13:00
2024-12-31,Narail,39.0,18:00
2024-12-31,Narinda,51.0,13:00
2024-12-31,Narshingdi,151.0,19:30
2024-12-31,Natore,94.0,18:00
2024-12-31,Nawabganj,28.0,21:00
2024-12-31,Netrakona,103.0,18:00
2024-12-31,New,63.5,12:00
2024-12-31,Niamatpur,48.0,08:00
2024-12-31,Noapara,34.0,18:30
2024-12-31,PHP,3.0,17:00
2024-12-31,Pabna,77.0,18:00
2024-12-31,Palashbari,77.0,18:30
2024-12-31,Panchagarh,45.0,18:30
2024-12-31,Patuakhali,50.1,19:00
2024-12-31,Payra,26.0,12:00
2024-12-31,Postogola,39.0,13:00
2024-12-31,Purbachal,14.0,13:00
2024-12-31,Purbasadipur,105.0,12:00
2024-12-31,Rahanpur,0.0,00:00
2024-12-31,Rahim,45.0,14:00
2024-12-31,Rajbari,54.0,18:00
2024-12-31,Rajendrapur,100.0,18:30
2024-12-31,Rajshahi,91.0,13:00
2024-12-31,Rajshahi-230,40.0,13:00
2024-12-31,Ramganj,76.0,18:00
2024-12-31,Rampur,24.0,13:00
2024-12-31,Rangamati,12.0,18:00
2024-12-31,Rangpur,107.0,18:30
2024-12-31,Ruppur,3.4,10:00
2024-12-31,SSM,3.0,02:00
2024-12-31,Saidpur,87.0,09:00
2024-12-31,Satkhira,84.0,08:00
2024-12-31,Satmasjid,85.0,13:00
2024-12-31,Savar,180.0,15:00
