datetime,date,hour,demand,generation,loadshed,peak
2022-01-01T00:00,2022-01-01,0,7131,7131,0,
2022-01-01T01:00,2022-01-01,1,6232,6232,0,
2022-01-01T02:00,2022-01-01,2,5875,5875,0,
2022-01-01T03:00,2022-01-01,3,5676,5676,0,
2022-01-01T04:00,2022-01-01,4,5492,5492,0,
2022-01-01T05:00,2022-01-01,5,5490,5490,0,
2022-01-01T06:00,2022-01-01,6,5782,5782,0,
2022-01-01T07:00,2022-01-01,7,6058,6058,0,
2022-01-01T08:00,2022-01-01,8,6619,6619,0,
2022-01-01T09:00,2022-01-01,9,6987,6987,0,
2022-01-01T10:00,2022-01-01,10,6994,6994,0,
2022-01-01T11:00,2022-01-01,11,7030,7030,0,
2022-01-01T12:00,2022-01-01,12,7329,7329,0,day
2022-01-01T13:00,2022-01-01,13,7616,7616,0,
2022-01-01T14:00,2022-01-01,14,7334,7334,0,
2022-01-01T15:00,2022-01-01,15,7137,7137,0,
2022-01-01T16:00,2022-01-01,16,6955,6955,0,
2022-01-01T17:00,2022-01-01,17,7344,7344,0,
2022-01-01T18:00,2022-01-01,18,8674,8674,0,
2022-01-01T19:00,2022-01-01,19,8930,8930,0,
2022-01-01T20:00,2022-01-01,20,8865,8865,0,
2022-01-01T21:00,2022-01-01,21,8575,8575,0,
2022-01-01T22:00,2022-01-01,22,8258,8258,0,
2022-01-01T23:00,2022-01-01,23,7616,7616,0,
2022-01-02T00:00,2022-01-02,0,7031,7031,0,
2022-01-02T01:00,2022-01-02,1,6688,6688,0,
2022-01-02T02:00,2022-01-02,2,6282,6282,0,
2022-01-02T03:00,2022-01-02,3,5975,5975,0,
2022-01-02T04:00,2022-01-02,4,5820,5820,0,
2022-01-02T05:00,2022-01-02,5,5745,5745,0,
2022-01-02T06:00,2022-01-02,6,5910,5910,0,
2022-01-02T07:00,2022-01-02,7,6162,6162,0,
2022-01-02T08:00,2022-01-02,8,6790,6790,0,
2022-01-02T09:00,2022-01-02,9,7422,7422,0,
2022-01-02T10:00,2022-01-02,10,7499,7499,0,
2022-01-02T11:00,2022-01-02,11,7486,7486,0,
2022-01-02T12:00,2022-01-02,12,7659,7659,0,day
2022-01-02T13:00,2022-01-02,13,7846,7846,0,
2022-01-02T14:00,2022-01-02,14,7536,7536,0,
2022-01-02T15:00,2022-01-02,15,7376,7376,0,
2022-01-02T16:00,2022-01-02,16,7210,7210,0,
2022-01-02T17:00,2022-01-02,17,7466,7466,0,
2022-01-02T18:00,2022-01-02,18,8861,8861,0,
2022-01-02T19:00,2022-01-02,19,9100,9100,0,
2022-01-02T20:00,2022-01-02,20,9014,9014,0,
2022-01-02T21:00,2022-01-02,21,8802,8802,0,
2022-01-02T22:00,2022-01-02,22,8394,8394,0,
2022-01-02T23:00,2022-01-02,23,7559,7559,0,
2022-01-03T00:00,2022-01-03,0,7085,7085,0,
2022-01-03T01:00,2022-01-03,1,6443,6443,0,
2022-01-03T02:00,2022-01-03,2,6217,6217,0,
2022-01-03T03:00,2022-01-03,3,5884,5884,0,
2022-01-03T04:00,2022-01-03,4,5717,5717,0,
2022-01-03T05:00,2022-01-03,5,5706,5706,0,
2022-01-03T06:00,2022-01-03,6,5872,5872,0,
2022-01-03T07:00,2022-01-03,7,6116,6116,0,
2022-01-03T08:00,2022-01-03,8,6896,6896,0,
2022-01-03T09:00,2022-01-03,9,7478,7478,0,
2022-01-03T10:00,2022-01-03,10,7478,7478,0,
2022-01-03T11:00,2022-01-03,11,7630,7630,0,
2022-01-03T12:00,2022-01-03,12,7761,7761,0,day
2022-01-03T13:00,2022-01-03,13,8115,8115,0,
2022-01-03T14:00,2022-01-03,14,7621,7621,0,
2022-01-03T15:00,2022-01-03,15,7394,7394,0,
2022-01-03T16:00,2022-01-03,16,7317,7317,0,
2022-01-03T17:00,2022-01-03,17,7607,7607,0,
2022-01-03T18:00,2022-01-03,18,8977,8977,0,
2022-01-03T19:00,2022-01-03,19,9313,9313,0,
2022-01-03T20:00,2022-01-03,20,9168,9168,0,
2022-01-03T21:00,2022-01-03,21,8923,8923,0,
2022-01-03T22:00,2022-01-03,22,8350,8350,0,
2022-01-03T23:00,2022-01-03,23,7853,7853,0,
2022-01-04T00:00,2022-01-04,0,7065,7065,0,
2022-01-04T01:00,2022-01-04,1,6629,6629,0,
2022-01-04T02:00,2022-01-04,2,6194,6194,0,
2022-01-04T03:00,2022-01-04,3,6063,6063,0,
2022-01-04T04:00,2022-01-04,4,5858,5858,0,
2022-01-04T05:00,2022-01-04,5,5837,5837,0,
2022-01-04T06:00,2022-01-04,6,6046,6046,0,
2022-01-04T07:00,2022-01-04,7,6566,6566,0,
2022-01-04T08:00,2022-01-04,8,7060,7060,0,
2022-01-04T09:00,2022-01-04,9,7608,7608,0,
2022-01-04T10:00,2022-01-04,10,7660,7660,0,
2022-01-04T11:00,2022-01-04,11,7789,7789,0,
