datetime,date,hour,national,dhaka,chattogram,cumilla,mymensingh,sylhet,khulna,barishal,rajshahi,rangpur
2015-04-17T00:00,2015-04-17,0,26.26,26.45,27.16,26.45,25.41,24.78,27.18,27.37,25.99,25.18
2015-04-17T01:00,2015-04-17,1,26.06,26.2,26.71,26.37,25.22,25.39,26.76,27.13,25.82,24.87
2015-04-17T02:00,2015-04-17,2,25.85,26.06,26.48,26.19,25.05,24.99,26.47,26.99,25.63,24.57
2015-04-17T03:00,2015-04-17,3,25.57,25.81,26.34,25.97,24.75,24.56,26.15,26.25,25.54,24.25
2015-04-17T04:00,2015-04-17,4,25.3,25.62,26.13,25.65,24.51,24.35,25.67,25.3,25.45,24.07
2015-04-17T05:00,2015-04-17,5,24.96,25.38,25.7,25.18,24.21,24.22,25.17,24.55,25.3,23.68
2015-04-17T06:00,2015-04-17,6,24.69,25.09,25.51,24.83,23.94,24.06,24.89,24.23,25.05,23.39
2015-04-17T07:00,2015-04-17,7,25.16,25.15,25.7,24.56,25.71,24.63,25.1,24.3,26.1,24.76
2015-04-17T08:00,2015-04-17,8,26.07,25.63,26.18,25.0,26.83,25.23,26.17,24.84,27.67,26.99
2015-04-17T09:00,2015-04-17,9,27.29,26.85,26.91,25.84,27.48,25.34,28.0,26.39,29.18,28.97
2015-04-17T10:00,2015-04-17,10,28.72,28.52,28.36,27.44,28.13,26.03,29.63,28.26,30.27,30.59
2015-04-17T11:00,2015-04-17,11,29.89,29.78,30.03,28.99,29.01,26.48,30.81,29.46,31.11,31.71
2015-04-17T12:00,2015-04-17,12,30.62,30.55,31.01,29.98,29.7,27.38,31.34,30.41,31.31,32.53
2015-04-17T13:00,2015-04-17,13,30.59,30.59,30.26,30.8,30.31,28.32,31.11,29.94,30.69,31.97
2015-04-17T14:00,2015-04-17,14,30.64,30.4,30.29,30.75,29.36,28.16,31.46,30.54,31.27,32.41
2015-04-17T15:00,2015-04-17,15,30.49,30.32,30.61,30.6,28.32,27.48,31.42,30.62,31.41,32.05
2015-04-17T16:00,2015-04-17,16,29.97,29.77,30.53,30.31,28.31,26.35,30.91,30.5,30.73,31.03
2015-04-17T17:00,2015-04-17,17,29.3,29.08,29.81,29.54,28.17,25.49,30.09,29.84,30.18,30.28
2015-04-17T18:00,2015-04-17,18,28.2,28.15,28.7,28.46,27.31,24.56,29.19,28.87,28.83,28.52
2015-04-17T19:00,2015-04-17,19,27.01,27.22,27.66,27.57,25.95,23.61,28.08,27.79,27.09,26.69
2015-04-17T20:00,2015-04-17,20,26.11,26.59,27.02,26.77,24.33,23.08,27.33,27.04,25.69,25.37
2015-04-17T21:00,2015-04-17,21,25.4,26.02,26.54,26.12,23.19,22.71,26.78,26.52,24.67,24.22
2015-04-17T22:00,2015-04-17,22,24.91,25.58,26.15,25.71,22.72,22.59,26.25,26.15,23.9,23.46
2015-04-17T23:00,2015-04-17,23,24.51,25.01,25.8,25.32,22.34,22.59,25.89,25.91,23.52,23.05
2015-04-18T00:00,2015-04-18,0,24.1,24.34,25.54,25.04,22.03,22.28,25.41,25.74,23.29,22.71
2015-04-18T01:00,2015-04-18,1,24.49,24.87,25.4,24.91,23.36,22.66,25.29,25.25,24.97,22.51
2015-04-18T02:00,2015-04-18,2,24.36,24.85,25.27,24.72,23.22,22.48,25.1,25.03,25.06,22.07
2015-04-18T03:00,2015-04-18,3,24.17,24.7,25.11,24.45,23.1,22.32,24.95,24.84,24.75,21.83
2015-04-18T04:00,2015-04-18,4,23.92,24.37,24.83,24.17,22.86,22.47,24.95,24.7,24.24,21.63
2015-04-18T05:00,2015-04-18,5,23.73,24.18,24.54,23.97,22.73,22.25,24.97,24.67,23.72,21.53
2015-04-18T06:00,2015-04-18,6,23.57,24.01,24.52,23.84,22.6,22.18,24.97,24.77,23.11,21.4
2015-04-18T07:00,2015-04-18,7,24.49,24.97,26.3,25.15,23.06,22.72,25.93,25.97,23.51,22.07
2015-04-18T08:00,2015-04-18,8,25.68,26.06,27.72,26.93,23.43,23.27,27.47,27.69,24.43,23.42
2015-04-18T09:00,2015-04-18,9,26.81,26.77,28.97,28.11,24.28,23.91,28.88,29.15,25.78,25.19
2015-04-18T10:00,2015-04-18,10,27.72,26.93,29.91,28.97,25.41,24.43,30.25,30.1,27.74,26.43
2015-04-18T11:00,2015-04-18,11,28.6,27.56,30.12,29.64,26.92,25.19,31.41,30.91,29.32,27.32
2015-04-18T12:00,2015-04-18,12,29.29,28.52,29.29,29.78,28.05,26.44,32.2,31.4,30.42,28.02
2015-04-18T13:00,2015-04-18,13,30.34,30.58,29.97,30.76,29.54,28.55,32.0,31.83,30.95,28.13
2015-04-18T14:00,2015-04-18,14,30.61,30.95,30.09,30.97,29.68,28.79,32.26,31.72,31.24,28.59
2015-04-18T15:00,2015-04-18,15,30.6,30.73,30.2,31.13,29.69,29.07,32.16,30.84,31.64,28.7
2015-04-18T16:00,2015-04-18,16,29.68,28.95,29.69,29.63,29.41,28.1,31.86,30.45,31.32,28.29
2015-04-18T17:00,2015-04-18,17,28.73,28.31,28.99,28.87,26.74,27.09,31.0,29.74,30.28,27.22
2015-04-18T18:00,2015-04-18,18,27.74,27.67,28.1,28.1,25.56,25.18,29.99,28.96,29.2,25.82
2015-04-18T19:00,2015-04-18,19,26.71,26.91,27.32,27.56,24.53,23.25,28.97,28.15,28.0,23.96
2015-04-18T20:00,2015-04-18,20,25.97,26.39,26.77,27.13,23.17,22.12,28.23,27.64,27.2,22.78
2015-04-18T21:00,2015-04-18,21,25.53,26.22,26.52,26.77,21.98,21.65,27.64,27.35,26.69,22.11
2015-04-18T22:00,2015-04-18,22,25.09,25.93,26.27,26.28,21.15,21.52,27.18,27.16,25.93,21.57
2015-04-18T23:00,2015-04-18,23,24.63,25.33,26.11,25.87,20.76,21.37,26.86,27.12,24.92,21.17
2015-04-19T00:00,2015-04-19,0,24.27,24.81,25.88,25.39,20.83,21.35,26.69,26.93,24.15,20.93
2015-04-19T01:00,2015-04-19,1,24.05,24.44,26.09,25.58,21.1,21.03,26.48,26.76,23.12,20.89
2015-04-19T02:00,2015-04-19,2,23.93,24.23,25.94,25.5,21.1,20.95,26.48,26.66,22.84,20.9
2015-04-19T03:00,2015-04-19,3,23.84,24.29,25.44,25.42,21.05,20.83,26.39,26.6,22.52,21.0
2015-04-19T04:00,2015-04-19,4,23.8,24.35,25.01,25.44,21.0,20.77,26.31,26.66,22.34,21.15
2015-04-19T05:00,2015-04-19,5,23.64,24.1,24.97,25.2,20.95,20.72,26.11,26.6,22.05,21.23
2015-04-19T06:00,2015-04-19,6,23.49,23.74,24.63,24.99,20.91,20.78,26.1,26.7,21.94,21.33
2015-04-19T07:00,2015-04-19,7,23.89,23.69,25.57,25.58,20.97,21.01,26.95,27.51,22.37,21.86
2015-04-19T08:00,2015-04-19,8,24.7,24.32,26.45,26.33,21.22,21.25,28.3,28.82,23.46,22.77
2015-04-19T09:00,2015-04-19,9,25.84,25.86,27.53,27.16,21.75,21.58,29.67,29.88,24.87,23.7
2015-04-19T10:00,2015-04-19,10,26.88,26.89,28.4,28.01,23.06,22.22,30.94,30.77,26.15,24.75
2015-04-19T11:00,2015-04-19,11,27.99,28.14,28.59,29.2,24.43,22.51,32.37,31.87,27.73,25.58
2015-04-19T12:00,2015-04-19,12,28.93,29.42,29.57,29.4,25.33,23.05,33.51,32.38,29.21,26.17
2015-04-19T13:00,2015-04-19,13,29.46,30.3,30.59,30.25,25.33,23.67,33.66,32.19,29.42,26.51
2015-04-19T14:00,2015-04-19,14,30.04,30.76,31.25,30.96,26.24,24.92,33.98,32.24,30.25,26.73
2015-04-19T15:00,2015-04-19,15,29.84,30.08,30.87,30.16,26.93,25.74,33.81,31.5,30.5,27.04
2015-04-19T16:00,2015-04-19,16,29.58,29.82,30.22,29.7,27.04,26.08,33.23,31.24,30.05,27.18
2015-04-19T17:00,2015-04-19,17,28.94,28.93,29.52,29.37,26.78,25.93,31.95,30.46,29.39,27.04
2015-04-19T18:00,2015-04-19,18,28.12,28.16,28.56,28.69,26.16,25.08,30.69,29.7,28.44,26.53
2015-04-19T19:00,2015-04-19,19,27.18,27.26,27.71,27.88,25.46,24.17,29.58,28.79,27.31,25.51
2015-04-19T20:00,2015-04-19,20,26.6,26.69,27.09,27.33,25.1,23.62,28.75,28.16,26.63,25.05
2015-04-19T21:00,2015-04-19,21,26.09,26.28,26.64,26.78,24.4,23.33,28.16,27.63,26.07,24.45
2015-04-19T22:00,2015-04-19,22,25.68,25.97,26.04,26.36,24.03,22.97,27.59,27.16,25.65,24.11
2015-04-19T23:00,2015-04-19,23,25.34,25.66,25.59,26.0,23.71,22.79,27.18,26.81,25.37,23.71
2015-04-20T00:00,2015-04-20,0,25.02,25.34,25.21,25.62,23.36,22.64,26.83,26.53,25.01,23.47
2015-04-20T01:00,2015-04-20,1,24.49,24.74,25.01,25.11,22.57,22.17,26.59,26.33,23.96,23.08
2015-04-20T02:00,2015-04-20,2,24.11,24.21,24.95,24.7,22.16,22.02,26.41,26.14,23.3,22.75
2015-04-20T03:00,2015-04-20,3,23.7,23.53,24.73,24.35,21.82,21.76,26.28,26.06,22.67,22.46
2015-04-20T04:00,2015-04-20,4,23.43,23.06,24.62,24.25,21.61,21.68,26.21,25.78,22.16,22.3
2015-04-20T05:00,2015-04-20,5,23.22,22.87,24.14,23.92,21.54,21.61,26.14,25.67,21.91,22.06
2015-04-20T06:00,2015-04-20,6,23.15,22.87,23.91,23.69,21.58,21.76,25.94,25.59,21.92,21.97
2015-04-20T07:00,2015-04-20,7,24.03,23.77,25.39,24.88,21.92,22.49,26.81,27.21,22.38,22.53
2015-04-20T08:00,2015-04-20,8,25.15,24.99,26.95,26.32,22.35,23.65,28.23,28.73,23.14,23.08
2015-04-20T09:00,2015-04-20,9,26.35,26.38,28.31,28.0,23.25,24.14,29.52,29.96,24.07,24.04
2015-04-20T10:00,2015-04-20,10,27.54,27.94,29.72,29.4,23.72,24.26,30.71,31.15,25.33,24.95
2015-04-20T11:00,2015-04-20,11,28.56,29.25,30.57,30.2,24.68,24.8,31.83,32.05,26.56,25.72
