country,destination,migrants,matched
Saudi Arabia,Saudi Arabia,2362680,True
India,India,2293959,True
United Arab Emirates (UAE),United Arab Emirates,1024949,True
Oman,Oman,737087,True
Kuwait,Kuwait,406077,True
United States of America (USA),United States of America,357581,True
United Kingdom (UK),United Kingdom,298666,True
Malaysia,Malaysia,282437,True
Qatar,Qatar,274697,True
Italy,Italy,179289,True
Bahrain,Bahrain,103283,True
Canada,Canada,79033,True
Australia,Australia,64969,True
Maldives,Maldives,43282,True
South Africa,South Africa,30637,True
Lebanon,Lebanon,30406,True
Japan,Japan,28989,True
Jordan,Jordan,26252,True
Spain,Spain,21104,True
Sweden,Sweden,15502,True
Mauritius,Mauritius,8488,True
Denmark,Denmark,4525,True
China,China,3569,True
Finland,Finland,3511,True
New Zealand,New Zealand,3499,True
Belgium,Belgium,3070,True
Greece,Greece,3029,True
Portugal,Portugal,1894,True
Cyprus,Cyprus,1620,True
Norway,Norway,1480,True
Brunei,Brunei Darussalam,1439,True
Fiji,Fiji,1425,True
Libya,Libya,1410,True
Myanmar,Myanmar,1102,False
Brazil,Brazil,811,True
Egypt,Egypt,762,True
Bulgaria,Bulgaria,741,True
Sri Lanka,Sri Lanka,680,True
Hong Kong,"China, Hong Kong SAR",478,True
Mexico,Mexico,400,True
Northern Mariana Islands,Northern Mariana Islands,374,False
Hungary,Hungary,288,True
Estonia,Estonia,268,True
Seychelles,Seychelles,227,True
Nepal,Nepal,214,False
Luxembourg,Luxembourg,164,True
Dem. People's Republic of Korea,Dem. People's Republic of Korea,156,False
Panama,Panama,78,True
Timor-Leste,Timor-Leste,66,False
Bhutan,Bhutan,55,True
Lithuania,Lithuania,46,True
Malta,Malta,38,True
Namibia,Namibia,34,False
Bolivia,Bolivia (Plurinational State of),33,True
Slovenia,Slovenia,23,True
Slovakia,Slovakia,23,True
Iceland,Iceland,18,True
Latvia,Latvia,14,True
El Salvador,El Salvador,6,False
Liechtenstein,Liechtenstein,6,True
Costa Rica,Costa Rica,4,False
Guinea,Guinea,0,True
