district,fiscal_year,remittance_musd,source_pdf
Bagerhat,FY2017-18,50.6,report_june2025.pdf
Bandarban,FY2017-18,14.6,report_june2025.pdf
Barguna,FY2017-18,46.4,report_june2025.pdf
Barisal,FY2017-18,174.8,report_june2025.pdf
Bhola,FY2017-18,87.3,report_june2025.pdf
Bogura,FY2017-18,142.7,report_june2025.pdf
Brahmanbaria,FY2017-18,644.1,report_june2025.pdf
Chandpur,FY2017-18,479.6,report_june2025.pdf
Chapainawabganj,FY2017-18,83.9,report_june2025.pdf
Chattogram,FY2017-18,1156.9,report_june2025.pdf
Chuadanga,FY2017-18,57.0,report_june2025.pdf
Comilla,FY2017-18,1122.3,report_june2025.pdf
Coxsbazar,FY2017-18,130.9,report_june2025.pdf
Dhaka,FY2017-18,3238.5,report_june2025.pdf
Dinajpur,FY2017-18,136.2,report_june2025.pdf
Faridpur,FY2017-18,195.2,report_june2025.pdf
Feni,FY2017-18,394.6,report_june2025.pdf
Gaibandha,FY2017-18,57.7,report_june2025.pdf
Gazipur,FY2017-18,272.8,report_june2025.pdf
Gopalganj,FY2017-18,62.3,report_june2025.pdf
Habiganj,FY2017-18,227.1,report_june2025.pdf
Jamalpur,FY2017-18,98.2,report_june2025.pdf
Jashore,FY2017-18,143.6,report_june2025.pdf
Jhalokati,FY2017-18,37.3,report_june2025.pdf
Jhenaidah,FY2017-18,75.3,report_june2025.pdf
Joypurhat,FY2017-18,61.2,report_june2025.pdf
Khagrachhari,FY2017-18,21.9,report_june2025.pdf
Khulna,FY2017-18,108.8,report_june2025.pdf
Kishoreganj,FY2017-18,230.7,report_june2025.pdf
Kurigram,FY2017-18,28.7,report_june2025.pdf
Kushtia,FY2017-18,107.1,report_june2025.pdf
Lakshmipur,FY2017-18,310.9,report_june2025.pdf
Lalmonirhat,FY2017-18,16.9,report_june2025.pdf
Madaripur,FY2017-18,189.8,report_june2025.pdf
Magura,FY2017-18,44.1,report_june2025.pdf
Manikganj,FY2017-18,202.8,report_june2025.pdf
Meherpur,FY2017-18,60.5,report_june2025.pdf
