country,fiscal_year,remittance_musd,source_pdf
Saudi Arabia,FY2016-17,2267.2,report_july2025.pdf
United Arab Emirates (UAE),FY2016-17,2093.5,report_july2025.pdf
United States of America (USA),FY2016-17,1688.8,report_july2025.pdf
Malaysia,FY2016-17,1103.6,report_july2025.pdf
Kuwait,FY2016-17,1033.3,report_july2025.pdf
Oman,FY2016-17,897.7,report_july2025.pdf
United Kingdom (UK),FY2016-17,808.2,report_july2025.pdf
Qatar,FY2016-17,576.0,report_july2025.pdf
Italy,FY2016-17,510.8,report_july2025.pdf
Bahrain,FY2016-17,437.1,report_july2025.pdf
Singapore,FY2016-17,301.0,report_july2025.pdf
France,FY2016-17,104.8,report_july2025.pdf
Lebanon,FY2016-17,103.9,report_july2025.pdf
Jordan,FY2016-17,91.0,report_july2025.pdf
Countries Other,FY2016-17,88.1,report_latest.pdf
South Africa,FY2016-17,85.1,report_july2025.pdf
"Of Korea, Republic",FY2016-17,80.7,report_july2025.pdf
Spain,FY2016-17,75.8,report_july2025.pdf
Iraq,FY2016-17,68.9,report_july2025.pdf
Australia,FY2016-17,52.0,report_july2025.pdf
Canada,FY2016-17,49.5,report_july2025.pdf
Mauritius,FY2016-17,42.2,report_july2025.pdf
Maldives,FY2016-17,40.3,report_july2025.pdf
Germany,FY2016-17,31.7,report_july2025.pdf
Japan,FY2016-17,22.9,report_july2025.pdf
Greece,FY2016-17,22.5,report_july2025.pdf
China Of Hong Sar,FY2016-17,19.0,report_july2025.pdf
Brunei,FY2016-17,18.3,report_july2025.pdf
Sweden,FY2016-17,9.3,report_july2025.pdf
Cyprus,FY2016-17,7.4,report_july2025.pdf
Switzerland,FY2016-17,6.9,report_july2025.pdf
Denmark,FY2016-17,5.0,report_july2025.pdf
Belgium,FY2016-17,4.8,report_july2025.pdf
Netherlands,FY2016-17,4.7,report_july2025.pdf
New Zealand,FY2016-17,4.5,report_july2025.pdf
India,FY2016-17,3.8,report_july2025.pdf
Portugal,FY2016-17,2.8,report_july2025.pdf
Ireland,FY2016-17,2.5,report_july2025.pdf
Austria,FY2016-17,1.9,report_july2025.pdf
Finland,FY2016-17,1.6,report_july2025.pdf
Bulgaria,FY2016-17,0.2,report_july2025.pdf
Saudi Arabia,FY2017-18,2591.6,report_july2025.pdf
United Arab Emirates (UAE),FY2017-18,2430.0,report_july2025.pdf
United States of America (USA),FY2017-18,1998.0,report_july2025.pdf
Kuwait,FY2017-18,1199.7,report_july2025.pdf
Malaysia,FY2017-18,1107.2,report_july2025.pdf
United Kingdom (UK),FY2017-18,1106.0,report_july2025.pdf
Oman,FY2017-18,958.2,report_july2025.pdf
Qatar,FY2017-18,844.1,report_july2025.pdf
Italy,FY2017-18,662.2,report_july2025.pdf
Bahrain,FY2017-18,541.6,report_july2025.pdf
Singapore,FY2017-18,330.1,report_july2025.pdf
South Africa,FY2017-18,153.2,report_july2025.pdf
France,FY2017-18,134.4,report_july2025.pdf
Lebanon,FY2017-18,115.7,report_july2025.pdf
Jordan,FY2017-18,111.2,report_july2025.pdf
"Of Korea, Republic",FY2017-18,96.3,report_july2025.pdf
Countries Other,FY2017-18,90.0,report_latest.pdf
Canada,FY2017-18,57.6,report_july2025.pdf
Australia,FY2017-18,56.5,report_july2025.pdf
