fiscal_year,year,month,date,remittance_musd
FY2014-15,2014,7,2014-07,1139.24
FY2014-15,2014,8,2014-08,1228.59
FY2014-15,2014,9,2014-09,1438.31
FY2014-15,2014,10,2014-10,1048.31
FY2014-15,2014,11,2014-11,1932.5
FY2014-15,2014,12,2014-12,1047.75
FY2014-15,2015,1,2015-01,1188.54
FY2014-15,2015,2,2015-02,1245.53
FY2014-15,2015,3,2015-03,1385.41
FY2014-15,2015,4,2015-04,1251.49
FY2014-15,2015,5,2015-05,1305.91
FY2014-15,2015,6,2015-06,1341.58
FY2015-16,2015,7,2015-07,1296.23
FY2015-16,2015,8,2015-08,1149.59
FY2015-16,2015,9,2015-09,1284.7
FY2015-16,2015,10,2015-10,1139.54
FY2015-16,2015,11,2015-11,1172.09
FY2015-16,2015,12,2015-12,1313.13
FY2015-16,2016,1,2016-01,1167.59
FY2015-16,2016,2,2016-02,1137.39
FY2015-16,2016,3,2016-03,1288.15
FY2015-16,2016,4,2016-04,1191.51
FY2015-16,2016,5,2016-05,1201.32
FY2015-16,2016,6,2016-06,1465.59
FY2016-17,2016,7,2016-07,1005.51
FY2016-17,2016,8,2016-08,1183.61
FY2016-17,2016,9,2016-09,1056.64
FY2016-17,2016,10,2016-10,1010.99
FY2016-17,2016,11,2016-11,951.37
FY2016-17,2016,12,2016-12,958.73
FY2016-17,2017,1,2017-01,1009.47
FY2016-17,2017,2,2017-02,940.75
FY2016-17,2017,3,2017-03,1077.52
FY2016-17,2017,4,2017-04,1092.64
FY2016-17,2017,5,2017-05,1267.61
FY2016-17,2017,6,2017-06,1214.61
FY2017-18,2017,7,2017-07,1115.57
FY2017-18,2017,8,2017-08,1418.58
FY2017-18,2017,9,2017-09,856.87
FY2017-18,2017,10,2017-10,1162.77
FY2017-18,2017,11,2017-11,1214.74
FY2017-18,2017,12,2017-12,1163.82
FY2017-18,2018,1,2018-01,1379.79
FY2017-18,2018,2,2018-02,1149.08
FY2017-18,2018,3,2018-03,1299.77
FY2017-18,2018,4,2018-04,1331.33
FY2017-18,2018,5,2018-05,1504.98
FY2017-18,2018,6,2018-06,1384.37
FY2018-19,2018,7,2018-07,1318.18
FY2018-19,2018,8,2018-08,1411.05
FY2018-19,2018,9,2018-09,1139.66
FY2018-19,2018,10,2018-10,1239.11
FY2018-19,2018,11,2018-11,1180.44
FY2018-19,2018,12,2018-12,1206.91
FY2018-19,2019,1,2019-01,1597.21
FY2018-19,2019,2,2019-02,1317.73
FY2018-19,2019,3,2019-03,1458.68
FY2018-19,2019,4,2019-04,1434.3
FY2018-19,2019,5,2019-05,1748.16
FY2018-19,2019,6,2019-06,1368.2
FY2019-20,2019,7,2019-07,1597.69
FY2019-20,2019,8,2019-08,1444.75
FY2019-20,2019,9,2019-09,1476.91
FY2019-20,2019,10,2019-10,1641.67
FY2019-20,2019,11,2019-11,1555.23
FY2019-20,2019,12,2019-12,1691.68
FY2019-20,2020,1,2020-01,1638.43
FY2019-20,2020,2,2020-02,1452.2
FY2019-20,2020,3,2020-03,1276.29
FY2019-20,2020,4,2020-04,1092.96
FY2019-20,2020,5,2020-05,1504.6
FY2019-20,2020,6,2020-06,1832.63
FY2020-21,2020,7,2020-07,2598.21
FY2020-21,2020,8,2020-08,1963.94
FY2020-21,2020,9,2020-09,2151.05
FY2020-21,2020,10,2020-10,2102.16
FY2020-21,2020,11,2020-11,2078.74
FY2020-21,2020,12,2020-12,2050.65
FY2020-21,2021,1,2021-01,1961.91
FY2020-21,2021,2,2021-02,1780.59
FY2020-21,2021,3,2021-03,1910.98
FY2020-21,2021,4,2021-04,2067.64
FY2020-21,2021,5,2021-05,2171.03
FY2020-21,2021,6,2021-06,1940.81
FY2021-22,2021,7,2021-07,1871.49
FY2021-22,2021,8,2021-08,1810.1
FY2021-22,2021,9,2021-09,1726.71
FY2021-22,2021,10,2021-10,1646.87
FY2021-22,2021,11,2021-11,1553.73
FY2021-22,2021,12,2021-12,1630.66
FY2021-22,2022,1,2022-01,1704.53
FY2021-22,2022,2,2022-02,1494.47
FY2021-22,2022,3,2022-03,1859.73
FY2021-22,2022,4,2022-04,2010.81
FY2021-22,2022,5,2022-05,1885.34
FY2021-22,2022,6,2022-06,1837.27
FY2022-23,2022,7,2022-07,2096.32
FY2022-23,2022,8,2022-08,2036.93
