Names of Unit,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,RC Arms Act,RC Explosive Act,RC Narcotics,RC Smuggling,Date
DMP,2.0,19.0,21,5,2.0,172.0,4,3,65,138.0,469.0,13.0,3,1323.0,8.0,Jan-20
CMP,0.0,5.0,5,5,0.0,61.0,3,1,12,26.0,90.0,46.0,1,435.0,4.0,Jan-20
KMP,0.0,0.0,1,0,0.0,8.0,0,0,5,2.0,31.0,1.0,1,129.0,1.0,Jan-20
RMP,0.0,1.0,1,0,0.0,17.0,0,0,0,11.0,43.0,0.0,0,289.0,26.0,Jan-20
BMP,0.0,1.0,2,2,0.0,13.0,0,0,7,16.0,37.0,1.0,0,106.0,0.0,Jan-20
SMP,2.0,1.0,1,5,0.0,22.0,0,1,4,3.0,53.0,0.0,0,55.0,4.0,Jan-20
RPMP,0.0,0.0,2,0,0.0,22.0,0,0,0,8.0,38.0,1.0,0,63.0,0.0,Jan-20
GMP,0.0,4.0,4,0,0.0,33.0,1,0,0,11.0,91.0,2.0,0,192.0,0.0,Jan-20
Dhaka Range,16.0,18.0,41,10,0.0,253.0,5,5,39,95.0,760.0,13.0,1,1183.0,8.0,Jan-20
Mymensingh Range,0.0,1.0,9,7,0.0,138.0,2,6,4,40.0,409.0,5.0,0,795.0,6.0,Jan-20
Chittagong Range,9.0,12.0,65,11,0.0,190.0,3,6,42,91.0,821.0,50.0,4,1162.0,7.0,Jan-20
Sylhet Range,2.0,2.0,20,1,0.0,65.0,4,2,5,45.0,348.0,2.0,0,195.0,17.0,Jan-20
Khulna Range,5.0,5.0,26,1,0.0,140.0,6,3,21,58.0,513.0,11.0,2,779.0,24.0,Jan-20
Barishal Range,1.0,3.0,12,0,0.0,105.0,5,0,11,21.0,377.0,6.0,0,299.0,2.0,Jan-20
Rajshahi Range,1.0,8.0,32,4,0.0,219.0,4,1,9,52.0,534.0,16.0,2,1549.0,136.0,Jan-20
Rangpur Range,1.0,2.0,29,2,0.0,163.0,2,3,14,55.0,619.0,5.0,0,563.0,107.0,Jan-20
Ralway Range,0.0,1.0,2,0,0.0,3.0,0,0,0,9.0,11.0,0.0,0,36.0,10.0,Jan-20
DMP,1.0,15.0,21,10,1.0,194.0,1,4,74,113.0,467.0,12.0,1,1205.0,12.0,Feb-20
CMP,0.0,5.0,2,7,0.0,64.0,0,2,13,13.0,112.0,31.0,3,396.0,3.0,Feb-20
KMP,0.0,2.0,1,0,0.0,8.0,2,0,1,6.0,26.0,0.0,0,129.0,0.0,Feb-20
RMP,0.0,5.0,1,0,0.0,16.0,2,0,1,7.0,55.0,1.0,0,268.0,13.0,Feb-20
BMP,0.0,2.0,1,2,0.0,12.0,0,0,10,10.0,44.0,0.0,0,93.0,0.0,Feb-20
SMP,0.0,2.0,1,10,0.0,22.0,1,1,1,5.0,59.0,1.0,0,54.0,1.0,Feb-20
RPMP,0.0,1.0,2,1,0.0,15.0,0,1,0,6.0,40.0,0.0,0,72.0,0.0,Feb-20
GMP,0.0,2.0,3,1,0.0,48.0,3,1,2,14.0,90.0,6.0,0,165.0,1.0,Feb-20
Dhaka Range,4.0,14.0,54,8,0.0,263.0,11,4,24,74.0,806.0,15.0,1,1186.0,8.0,Feb-20
Mymensingh Range,1.0,1.0,16,5,0.0,129.0,1,4,7,35.0,434.0,3.0,0,508.0,7.0,Feb-20
Chittagong Range,10.0,16.0,48,7,0.0,239.0,10,5,35,89.0,828.0,48.0,2,1077.0,14.0,Feb-20
Sylhet Range,3.0,3.0,19,0,0.0,67.0,1,2,4,30.0,306.0,6.0,0,220.0,26.0,Feb-20
Khulna Range,3.0,6.0,17,2,0.0,168.0,2,4,19,49.0,520.0,26.0,2,766.0,27.0,Feb-20
Barishal Range,1.0,4.0,12,0,0.0,106.0,2,1,9,26.0,374.0,1.0,0,299.0,2.0,Feb-20
Rajshahi Range,3.0,7.0,36,2,0.0,204.0,1,4,7,43.0,552.0,20.0,3,1542.0,124.0,Feb-20
Rangpur Range,0.0,1.0,21,1,0.0,185.0,3,1,10,45.0,676.0,4.0,0,524.0,71.0,Feb-20
Ralway Range,0.0,1.0,2,0,0.0,0.0,1,0,1,6.0,11.0,0.0,0,27.0,15.0,Feb-20
DMP,3.0,13.0,17,13,0.0,187.0,7,6,49,110.0,502.0,15.0,0,1129.0,8.0,Mar-20
CMP,0.0,6.0,3,7,0.0,64.0,1,1,9,13.0,152.0,32.0,0,344.0,3.0,Mar-20
KMP,0.0,0.0,3,1,0.0,7.0,0,0,1,2.0,18.0,0.0,0,102.0,0.0,Mar-20
RMP,0.0,2.0,1,0,2.0,19.0,1,0,5,8.0,53.0,1.0,0,243.0,29.0,Mar-20
BMP,0.0,0.0,1,3,0.0,10.0,0,1,8,5.0,39.0,0.0,0,102.0,0.0,Mar-20
SMP,0.0,0.0,4,4,0.0,26.0,0,0,2,7.0,75.0,0.0,0,42.0,1.0,Mar-20
RPMP,0.0,0.0,2,1,0.0,24.0,0,0,0,11.0,42.0,0.0,0,87.0,0.0,Mar-20
GMP,3.0,3.0,5,1,0.0,42.0,4,3,3,13.0,107.0,2.0,0,125.0,0.0,Mar-20
Dhaka Range,3.0,18.0,49,9,0.0,265.0,10,4,25,80.0,911.0,5.0,1,1009.0,1.0,Mar-20
Mymensingh Range,1.0,2.0,21,3,0.0,122.0,0,4,4,31.0,457.0,4.0,0,436.0,10.0,Mar-20
Chittagong Range,8.0,9.0,62,11,0.0,230.0,5,11,32,65.0,953.0,53.0,0,976.0,14.0,Mar-20
Sylhet Range,2.0,3.0,26,1,0.0,88.0,3,5,10,35.0,338.0,6.0,0,167.0,17.0,Mar-20
Khulna Range,4.0,12.0,32,3,0.0,195.0,4,1,17,57.0,651.0,23.0,1,616.0,23.0,Mar-20
Barishal Range,1.0,4.0,7,5,0.0,110.0,2,1,13,21.0,476.0,0.0,0,327.0,1.0,Mar-20
Rajshahi Range,0.0,3.0,21,9,0.0,220.0,1,5,7,34.0,566.0,18.0,1,1441.0,94.0,Mar-20
Rangpur Range,1.0,1.0,22,1,0.0,194.0,1,1,9,62.0,644.0,2.0,0,457.0,65.0,Mar-20
Ralway Range,0.0,2.0,3,0,0.0,0.0,0,0,1,6.0,11.0,0.0,0,20.0,5.0,Mar-20
DMP,1.0,5.0,8,6,0.0,47.0,0,1,21,22.0,118.0,2.0,0,120.0,0.0,Apr-20
CMP,0.0,4.0,9,3,0.0,16.0,0,1,4,10.0,51.0,16.0,0,51.0,1.0,Apr-20
KMP,0.0,1.0,0,0,0.0,1.0,0,1,1,1.0,9.0,0.0,0,7.0,0.0,Apr-20
RMP,0.0,1.0,1,0,0.0,11.0,0,1,3,3.0,44.0,0.0,0,51.0,5.0,Apr-20
BMP,0.0,0.0,3,1,0.0,4.0,0,0,1,3.0,37.0,0.0,0,26.0,0.0,Apr-20
SMP,0.0,0.0,1,2,0.0,11.0,0,1,4,6.0,49.0,0.0,0,10.0,0.0,Apr-20
RPMP,0.0,1.0,1,0,0.0,6.0,0,0,0,3.0,35.0,0.0,0,10.0,0.0,Apr-20
GMP,0.0,1.0,3,1,0.0,11.0,0,0,2,7.0,68.0,1.0,0,22.0,1.0,Apr-20
Dhaka Range,5.0,7.0,51,4,0.0,128.0,2,11,11,40.0,786.0,8.0,2,190.0,3.0,Apr-20
Mymensingh Range,0.0,1.0,25,1,0.0,58.0,2,4,1,27.0,666.0,1.0,0,38.0,2.0,Apr-20
Chittagong Range,2.0,5.0,55,7,0.0,108.0,1,9,17,37.0,936.0,24.0,1,321.0,0.0,Apr-20
Sylhet Range,2.0,0.0,13,0,0.0,38.0,0,4,2,31.0,336.0,1.0,0,56.0,2.0,Apr-20
Khulna Range,0.0,2.0,29,3,0.0,127.0,1,3,9,41.0,633.0,10.0,0,242.0,7.0,Apr-20
Barishal Range,0.0,0.0,16,4,0.0,95.0,1,3,11,8.0,537.0,0.0,2,68.0,0.0,Apr-20
Rajshahi Range,0.0,3.0,31,2,0.0,160.0,2,4,1,23.0,560.0,14.0,4,276.0,34.0,Apr-20
Rangpur Range,0.0,1.0,27,3,0.0,104.0,1,2,5,29.0,706.0,0.0,0,151.0,28.0,Apr-20
Ralway Range,0.0,0.0,0,0,0.0,0.0,0,0,0,2.0,1.0,0.0,0,0.0,0.0,Apr-20
DMP,2.0,8.0,13,6,0.0,68.0,1,3,31,43.0,172.0,8.0,0,161.0,2.0,May-20
CMP,0.0,3.0,6,3,0.0,23.0,0,0,11,20.0,102.0,12.0,0,51.0,2.0,May-20
KMP,0.0,0.0,0,0,0.0,12.0,1,0,0,2.0,21.0,0.0,0,5.0,0.0,May-20
RMP,0.0,1.0,2,0,0.0,17.0,0,0,4,2.0,51.0,2.0,0,60.0,7.0,May-20
BMP,0.0,0.0,2,2,0.0,4.0,0,0,2,5.0,34.0,1.0,0,8.0,0.0,May-20
SMP,0.0,0.0,2,3,0.0,16.0,0,1,2,6.0,86.0,1.0,0,27.0,2.0,May-20
RPMP,0.0,1.0,5,0,0.0,8.0,0,0,0,5.0,42.0,0.0,0,15.0,0.0,May-20
GMP,1.0,5.0,8,2,0.0,11.0,2,1,2,9.0,65.0,3.0,0,34.0,0.0,May-20
Dhaka Range,5.0,12.0,54,4,0.0,158.0,6,16,27,66.0,1030.0,4.0,3,331.0,0.0,May-20
Mymensingh Range,0.0,0.0,26,3,0.0,104.0,3,0,4,28.0,735.0,2.0,0,108.0,3.0,May-20
Chittagong Range,2.0,10.0,97,9,0.0,143.0,4,12,21,58.0,1172.0,51.0,1,613.0,2.0,May-20
Sylhet Range,0.0,1.0,28,1,0.0,51.0,1,3,3,31.0,452.0,1.0,0,84.0,10.0,May-20
Khulna Range,1.0,2.0,36,2,0.0,131.0,0,2,8,45.0,672.0,9.0,1,294.0,5.0,May-20
Barishal Range,0.0,2.0,12,1,0.0,106.0,1,2,9,10.0,514.0,2.0,0,117.0,2.0,May-20
Rajshahi Range,0.0,9.0,32,7,0.0,163.0,0,6,3,29.0,615.0,15.0,1,328.0,38.0,May-20
Rangpur Range,0.0,5.0,38,1,0.0,152.0,0,4,9,37.0,819.0,1.0,0,224.0,30.0,May-20
Ralway Range,0.0,0.0,0,0,0.0,1.0,0,0,0,1.0,3.0,0.0,0,1.0,1.0,May-20
DMP,2.0,13.0,19,7,0.0,185.0,3,5,45,92.0,328.0,11.0,0,465.0,2.0,Jun-20
CMP,1.0,5.0,8,10,0.0,33.0,0,2,3,7.0,104.0,23.0,0,133.0,1.0,Jun-20
KMP,0.0,2.0,3,0,0.0,5.0,0,0,0,4.0,8.0,0.0,0,51.0,0.0,Jun-20
RMP,0.0,4.0,0,2,0.0,15.0,0,0,1,6.0,40.0,0.0,0,54.0,6.0,Jun-20
BMP,0.0,3.0,2,0,0.0,12.0,0,0,4,10.0,28.0,0.0,0,18.0,0.0,Jun-20
SMP,0.0,0.0,6,5,0.0,20.0,0,1,0,8.0,45.0,1.0,0,25.0,2.0,Jun-20
RPMP,0.0,0.0,3,2,0.0,21.0,1,0,1,6.0,47.0,0.0,0,24.0,0.0,Jun-20
GMP,3.0,1.0,7,6,0.0,38.0,2,1,3,11.0,68.0,3.0,0,45.0,0.0,Jun-20
Dhaka Range,13.0,13.0,64,18,0.0,269.0,16,10,31,73.0,958.0,14.0,4,646.0,5.0,Jun-20
Mymensingh Range,0.0,9.0,12,8,0.0,136.0,0,2,7,35.0,543.0,2.0,0,236.0,3.0,Jun-20
Chittagong Range,4.0,7.0,54,9,0.0,215.0,7,3,35,62.0,918.0,44.0,1,636.0,9.0,Jun-20
Sylhet Range,0.0,1.0,19,0,0.0,66.0,2,3,5,31.0,325.0,1.0,0,142.0,14.0,Jun-20
Khulna Range,4.0,9.0,32,5,0.0,188.0,2,5,19,63.0,662.0,16.0,2,436.0,15.0,Jun-20
Barishal Range,0.0,3.0,12,0,0.0,108.0,1,0,16,10.0,359.0,3.0,0,223.0,0.0,Jun-20
Rajshahi Range,0.0,4.0,33,7,0.0,230.0,3,0,5,41.0,556.0,18.0,2,650.0,74.0,Jun-20
Rangpur Range,0.0,5.0,28,7,0.0,197.0,1,1,9,45.0,756.0,0.0,0,355.0,23.0,Jun-20
Ralway Range,0.0,0.0,1,0,0.0,1.0,0,0,0,2.0,7.0,0.0,0,6.0,1.0,Jun-20
DMP,1.0,22.0,27,10,0.0,216.0,2,6,55,122.0,509.0,16.0,2,1418.0,3.0,Jul-20
CMP,0.0,8.0,8,8,0.0,69.0,0,2,9,25.0,155.0,59.0,2,303.0,4.0,Jul-20
KMP,0.0,2.0,4,0,0.0,13.0,0,0,1,6.0,27.0,2.0,0,188.0,1.0,Jul-20
RMP,0.0,4.0,3,0,0.0,23.0,0,0,1,15.0,41.0,1.0,0,59.0,7.0,Jul-20
BMP,0.0,1.0,0,1,0.0,18.0,0,0,6,14.0,39.0,1.0,0,31.0,1.0,Jul-20
